ID;Spot;StartSp;EndSp;Channel;Position;Total_Postions;Genre;BeforeVisits2;AfterVisits2;BeforeVisits20;AfterVisits20
1;1;2017-12-22T18:26:36;2017-12-22T18:26:49;VOX;12;20;Thriller;483;602;4058;4406
2;2;2017-12-22T19:20:06;2017-12-22T19:20:19;VOX;4;28;News;500;520;4202;4685
3;3;2017-12-22T19:51:11;2017-12-22T19:51:24;Kabel1;4;13;News;488;540;4283;4528
4;4;2017-12-23T16:16:03;2017-12-23T16:16:16;Kabel1;2;13;Basketball;471;525;3972;4404
5;1;2017-12-23T17:57:22;2017-12-23T17:57:35;Kabel1;12;13;Basketball;489;683;4096;4604
6;2;2017-12-23T19:21:34;2017-12-23T19:21:47;RTL;15;21;Soap;488;510;4089;4699
7;1;2017-12-23T19:26:39;2017-12-23T19:26:52;VOX;4;8;Family;503;648;4138;4716
8;5;2017-12-23T19:53:00;2017-12-23T19:53:13;Kabel1;9;12;Basketball;515;560;4381;5377
9;4;2017-12-23T19:55:00;2017-12-23T19:55:13;VOX;14;16;Family;560;719;4396;5342
10;2;2017-12-23T20:42:52;2017-12-23T20:43:05;RTL;6;30;OtherMovies;470;536;4163;4262
11;3;2017-12-24T14:23:17;2017-12-24T14:23:30;RTL;5;20;Humor;503;563;4214;4379
12;2;2017-12-24T17:37:37;2017-12-24T17:37:50;RTL;17;18;OtherMovies;503;555;4336;4505
13;4;2017-12-25T18:09:28;2017-12-25T18:09:41;VOX;4;8;Thriller;482;605;4278;4733
14;5;2017-12-25T19:19:01;2017-12-25T19:19:14;Kabel1;2;10;Thriller;491;537;4298;4629
15;1;2017-12-25T19:49:15;2017-12-25T19:49:28;Kabel1;10;12;Science;531;553;4579;5094
16;3;2017-12-25T19:42:52;2017-12-25T19:43:05;RTL;4;20;ScienceFiction;511;571;4501;5177
17;1;2017-12-25T19:52:40;2017-12-25T19:52:53;VOX;2;4;Documentary;591;707;4687;4993
18;2;2017-12-25T21:42:00;2017-12-25T21:42:13;RTL;6;7;Science;467;497;3976;3923
19;3;2017-12-28T18:27:51;2017-12-28T18:28:04;VOX;19;24;Thriller;524;614;4579;4948
20;2;2017-12-28T19:19:49;2017-12-28T19:20:02;VOX;8;10;News;557;673;4691;5309
21;4;2017-12-29T19:24:12;2017-12-29T19:24:25;VOX;20;26;News;555;599;4691;4948
22;6;2017-12-29T19:17:38;2017-12-29T19:17:50;Kabel1;7;15;Basketball;497;626;4399;5197
23;5;2017-12-29T19:46:29;2017-12-29T19:46:42;Kabel1;5;13;Basketball;538;595;4742;5200
24;5;2017-12-29T19:51:43;2017-12-29T19:51:56;VOX;4;20;Thriller;542;697;4658;5126
25;1;2017-12-30T16:10:21;2017-12-30T16:10:34;Kabel1;2;7;Basketball;485;639;4175;4655
26;5;2017-12-30T17:47:45;2017-12-30T17:47:58;Kabel1;8;13;Basketball;521;687;4413;4938
27;2;2017-12-30T19:46:31;2017-12-30T19:46:44;RTL;7;16;Soap;525;535;4502;4464
28;6;2017-12-30T20:43:22;2017-12-30T20:43:34;RTL;11;29;Humor;493;618;4174;4438
29;1;2017-12-31T20:40:27;2017-12-31T20:40:40;RTL;13;30;ScienceFiction;494;647;4253;4540
30;1;2018-01-01T08:45:48;2018-01-01T08:46:01;RTL;11;17;Magazine;435;458;3613;3740
31;5;2018-01-01T11:37:30;2018-01-01T11:37:43;RTL;7;22;SitCom;484;517;4164;4244
32;1;2018-01-01T16:57:34;2018-01-01T16:57:47;Kabel1;5;6;Documentary;526;583;4377;4656
33;7;2018-01-01T19:26:45;2018-01-01T19:26:57;VOX;38;39;Politics;663;677;5594;5573
34;5;2018-01-01T19:53:03;2018-01-01T19:53:16;VOX;11;29;Politics;611;705;5462;6215
35;5;2018-01-01T20:43:37;2018-01-01T20:43:50;RTL;23;34;Thriller;587;640;5077;5354
36;4;2018-01-02T13:35:25;2018-01-02T13:35:38;RTL;5;20;SitCom;479;503;4192;4246
37;2;2018-01-02T17:22:33;2018-01-02T17:22:46;RTL;17;28;Documentary;507;523;4345;4484
38;1;2018-01-02T18:26:42;2018-01-02T18:26:55;VOX;18;26;Thriller;524;596;4426;4713
39;2;2018-01-02T19:56:27;2018-01-02T19:56:40;VOX;24;28;Thriller;512;691;4660;4975
40;5;2018-01-02T20:55:52;2018-01-02T20:56:05;RTL;29;34;Soccer;537;720;4512;5005
41;4;2018-01-03T14:27:35;2018-01-03T14:27:48;VOX;4;9;Basketball;479;593;4398;4522
42;5;2018-01-03T15:56:54;2018-01-03T15:57:07;VOX;6;10;Basketball;503;529;4227;4517
43;3;2018-01-04T14:09:58;2018-01-04T14:10:11;VOX;6;11;News;471;498;4073;4139
44;1;2018-01-04T16:57:25;2018-01-04T16:57:38;Kabel1;5;7;Documentary;508;569;4288;4568
45;6;2018-01-04T18:30:27;2018-01-04T18:30:39;VOX;26;26;Thriller;519;675;4417;4618
46;7;2018-01-04T19:47:31;2018-01-04T19:47:43;Kabel1;5;14;Science;526;578;4546;4670
47;6;2018-01-05T14:12:54;2018-01-05T14:13:06;VOX;4;9;Basketball;492;565;4174;4698
48;1;2018-01-05T16:58:18;2018-01-05T16:58:31;Kabel1;6;6;Documentary;540;621;4765;4997
49;5;2018-01-05T18:26:20;2018-01-05T18:26:33;VOX;10;22;Thriller;537;610;4856;5010
50;2;2018-01-05T19:47:10;2018-01-05T19:47:23;Kabel1;5;13;Science;562;553;4914;4887
51;6;2018-01-06T18:54:03;2018-01-06T18:54:15;Kabel1;6;10;Others;556;594;4621;4937
52;7;2018-01-06T19:18:48;2018-01-06T19:19:00;RTL;9;22;Soap;527;574;4733;5092
53;1;2018-01-06T19:25:50;2018-01-06T19:26:03;VOX;28;28;Thriller;531;661;4742;5054
54;1;2018-01-06T19:54:25;2018-01-06T19:54:38;VOX;8;16;Thriller;551;789;4793;5273
55;5;2018-01-06T20:47:41;2018-01-06T20:47:54;RTL;18;30;Cartoon;514;616;4295;4583
56;2;2018-01-07T20:41:00;2018-01-07T20:41:13;RTL;18;32;ScienceFiction;519;631;4525;4707
57;7;2018-01-08T08:45:56;2018-01-08T08:46:08;RTL;5;21;Magazine;457;458;3798;3885
58;4;2018-01-08T13:10:44;2018-01-08T13:10:57;RTL;7;18;SitCom;507;511;4295;4375
59;1;2018-01-08T18:25:04;2018-01-08T18:25:17;VOX;6;26;Thriller;559;590;4550;4825
60;4;2018-01-08T19:55:10;2018-01-08T19:55:23;VOX;4;16;Politics;517;617;4656;5172
61;2;2018-01-08T20:40:55;2018-01-08T20:41:08;RTL;22;28;Thriller;519;602;4619;4802
62;5;2018-01-09T13:40:28;2018-01-09T13:40:41;RTL;5;18;SitCom;518;551;4329;4795
63;2;2018-01-09T15:19:57;2018-01-09T15:20:10;RTL;14;17;Soap;557;557;4700;4671
64;4;2018-01-09T18:57:01;2018-01-09T18:57:14;VOX;10;24;Thriller;532;589;4681;4986
65;6;2018-01-09T19:53:04;2018-01-09T19:53:16;VOX;9;31;Thriller;555;693;4844;5556
66;2;2018-01-09T20:49:36;2018-01-09T20:49:49;RTL;7;26;Soccer;547;755;4723;5349
67;5;2018-01-10T19:24:14;2018-01-10T19:24:27;VOX;22;33;News;519;533;4402;4684
68;1;2018-01-10T19:52:42;2018-01-10T19:52:55;VOX;11;27;Thriller;520;643;4580;4933
69;7;2018-01-11T11:18:08;2018-01-11T11:18:20;RTL;7;23;SitCom;483;478;4089;4035
70;4;2018-01-11T13:38:38;2018-01-11T13:38:51;RTL;13;24;SitCom;470;518;4134;4177
71;4;2018-01-11T18:27:16;2018-01-11T18:27:29;VOX;10;24;Thriller;478;521;4221;4519
72;3;2018-01-11T19:23:02;2018-01-11T19:23:15;VOX;20;36;News;518;593;4313;4896
73;4;2018-01-11T19:31:16;2018-01-11T19:31:29;Kabel1;4;6;Basketball;518;546;4539;4749
74;2;2018-01-11T20:43:03;2018-01-11T20:43:16;RTL;21;36;ScienceFiction;513;555;4271;4471
75;1;2018-01-12T18:58:34;2018-01-12T18:58:47;VOX;20;24;Thriller;485;575;4309;4524
76;3;2018-01-12T19:06:06;2018-01-12T19:06:19;Kabel1;9;10;Basketball;514;497;4444;4551
77;5;2018-01-12T19:22:28;2018-01-12T19:22:41;VOX;14;34;News;498;594;4403;4721
78;1;2018-01-13T15:04:50;2018-01-13T15:05:03;Kabel1;6;12;Basketball;483;576;4052;4531
79;2;2018-01-13T19:13:32;2018-01-13T19:13:45;Kabel1;10;11;Basketball;499;555;4196;4451
80;6;2018-01-13T19:48:29;2018-01-13T19:48:41;RTL;13;22;Soap;507;567;4307;4469
81;4;2018-01-13T20:39:52;2018-01-13T20:40:05;RTL;5;28;Soccer;475;568;4109;4361
82;4;2018-01-15T08:46:42;2018-01-15T08:46:55;RTL;9;17;Magazine;445;438;3754;3743
83;5;2018-01-15T13:33:22;2018-01-15T13:33:35;RTL;5;17;SitCom;555;573;4439;5207
84;5;2018-01-15T19:25:51;2018-01-15T19:26:04;VOX;32;33;Politics;540;619;4682;4921
85;1;2018-01-15T19:53:44;2018-01-15T19:53:57;VOX;20;22;Politics;571;716;4813;5252
86;1;2018-01-15T20:42:33;2018-01-15T20:42:46;RTL;11;33;Thriller;540;615;4489;4787
87;2;2018-01-16T13:43:45;2018-01-16T13:43:58;RTL;5;22;SitCom;476;483;4114;4200
88;2;2018-01-16T15:30:35;2018-01-16T15:30:48;RTL;9;21;Soap;495;501;4274;4175
89;1;2018-01-16T16:57:31;2018-01-16T16:57:44;Kabel1;3;6;Documentary;501;585;4188;4578
90;1;2018-01-16T17:22:23;2018-01-16T17:22:36;RTL;17;25;Documentary;504;521;4384;4442
91;7;2018-01-16T18:55:28;2018-01-16T18:55:40;VOX;6;26;Thriller;479;525;4254;4499
92;4;2018-01-16T19:50:46;2018-01-16T19:50:59;VOX;7;31;Thriller;510;664;4442;5127
93;1;2018-01-17T16:58:03;2018-01-17T16:58:16;Kabel1;4;5;Documentary;545;605;4826;4957
94;5;2018-01-17T19:19:54;2018-01-17T19:20:07;VOX;4;34;News;514;641;4589;5027
95;1;2018-01-17T19:55:02;2018-01-17T19:55:15;VOX;21;29;Nature;540;649;4789;5168
96;5;2018-01-18T11:42:59;2018-01-18T11:43:12;RTL;8;24;SitCom;498;500;4320;4274
97;4;2018-01-18T13:52:04;2018-01-18T13:52:17;RTL;11;21;SitCom;477;492;4155;4169
98;6;2018-01-18T18:24:28;2018-01-18T18:24:40;VOX;12;24;Thriller;519;604;4282;4441
99;1;2018-01-18T18:45:34;2018-01-18T18:45:47;RTL;13;23;ScienceFiction;505;516;4430;4365
100;4;2018-01-18T19:25:22;2018-01-18T19:25:35;VOX;26;38;Thriller;497;623;4273;4696
101;5;2018-01-19T19:25:20;2018-01-19T19:25:33;VOX;24;28;Thriller;495;610;4374;4794
102;1;2018-01-19T19:50:46;2018-01-19T19:50:59;VOX;7;29;Thriller;513;618;4649;4779
103;4;2018-01-20T17:59:13;2018-01-20T17:59:26;Kabel1;11;15;News;482;542;4300;4683
104;5;2018-01-20T19:24:57;2018-01-20T19:25:10;Kabel1;12;25;Romance;490;687;4262;4944
105;6;2018-01-20T19:49:53;2018-01-20T19:50:05;RTL;11;18;Soap;500;552;4553;4466
106;7;2018-01-22T08:43:44;2018-01-22T08:43:56;RTL;5;17;Magazine;446;456;3745;3865
107;2;2018-01-22T12:35:43;2018-01-22T12:35:56;RTL;17;21;SitCom;475;489;4157;4219
108;1;2018-01-22T16:57:46;2018-01-22T16:57:59;Kabel1;4;5;Documentary;588;626;5120;5317
109;4;2018-01-22T18:57:50;2018-01-22T18:58:03;VOX;20;26;Thriller;559;645;4780;5186
110;5;2018-01-22T19:24:24;2018-01-22T19:24:37;VOX;23;27;News;615;678;5123;5339
111;5;2018-01-22T19:52:28;2018-01-22T19:52:41;Kabel1;7;12;Adventure;597;631;5187;5920
112;3;2018-01-22T19:53:06;2018-01-22T19:53:19;VOX;16;16;Politics;597;761;5187;6040
113;2;2018-01-22T20:44:47;2018-01-22T20:45:00;RTL;27;33;Thriller;555;624;4921;5058
114;5;2018-01-23T13:50:00;2018-01-23T13:50:13;RTL;21;23;SitCom;494;494;4342;4238
115;2;2018-01-23T15:25:42;2018-01-23T15:25:55;RTL;13;20;Soap;493;503;4225;4174
116;1;2018-01-23T16:57:52;2018-01-23T16:58:05;Kabel1;4;5;Travel;507;565;4364;4636
117;2;2018-01-23T17:16:59;2018-01-23T17:17:12;RTL;8;27;Documentary;525;512;4637;4426
118;5;2018-01-23T19:51:42;2018-01-23T19:51:55;VOX;17;27;Thriller;555;685;4560;4958
119;3;2018-01-25T11:18:30;2018-01-25T11:18:43;RTL;7;25;SitCom;461;507;4025;4170
120;5;2018-01-25T13:50:26;2018-01-25T13:50:39;RTL;17;20;SitCom;470;480;4021;4047
121;1;2018-01-25T16:57:55;2018-01-25T16:58:08;Kabel1;5;6;Travel;479;544;4221;4403
122;1;2018-01-25T18:40:23;2018-01-25T18:40:36;RTL;9;24;ScienceFiction;483;505;4204;4201
123;1;2018-01-25T19:24:03;2018-01-25T19:24:16;VOX;22;34;News;486;522;4174;4478
